CCAA;ANYO;EVIDA_H;EVIDA_M;EVIDA_T;GASTO_PROTG;GASTO_TOT;EVH_ME;EVM_ME;EVT_ME;GASTO_POBT;EVH_AG;
Andalucía (AN);2002;75,24;81,87;78,54;838,76;790;1;1;1;1;1;
Aragón (AR);2002;77,33;83,75;80,50;951,29;890;2;2;2;2;2;
Asturias, Principado de (AS);2002;75,70;83,32;79,52;945,54;924;1;1;1;2;2;
Balears, Illes (IB);2002;76,31;82,80;79,52;784,83;797;1;1;1;1;1;
Canarias (CN);2002;75,37;82,21;78,72;904,05;916;1;1;1;2;2;
Cantabria (CB);2002;76,28;84,33;80,28;1013,26;977;1;2;2;2;2;
Castilla - La Mancha (CM);2002;77,58;83,33;80,41;872,20;828;2;1;2;1;1;
Castilla y León (CL);2002;77,62;84,39;80,95;893,32;839;2;2;2;1;1;
Cataluña (CT);2002;76,76;83,45;80,13;872,58;853;1;2;2;1;1;
Comunitat Valenciana (VC);2002;75,77;82,43;79,08;829,76;808;1;1;1;1;1;
Extremadura (EX);2002;75,99;82,95;79,40;944,54;895;1;1;1;2;2;
Galicia (GA);2002;80,18;83,77;80,18;902,00;864;2;2;2;1;1;
La Rioja (RI);2002;77,30;84,19;80,65;911,16;868;2;2;2;2;1;
Madrid, Comunidad de (MD);2002;80,98;84,33;80,98;828,84;760;2;2;2;1;1;
Murcia, Región de (MC);2002;75,89;82,04;78,95;880,18;823;1;1;1;1;1;
Navarra, C. Foral de (NC);2002;77,08;85,27;81,07;1010,70;994;2;2;2;2;2;
País Vasco (PV);2002;76,62;83,93;80,30;976,10;962;1;2;2;2;2;
Andalucía (AN);2003;75,17;81,69;78,41;904,91;855;1;1;1;1;1;
Aragón (AR);2003;77,28;83,26;80,23;1067,60;999;2;2;2;2;2;
Asturias, Principado de (AS);2003;75,39;83,07;79,23;1060,66;1038;1;1;1;2;2;
Balears, Illes (IB);2003;76,74;82,98;79,83;878,79;890;2;1;1;1;1;
Canarias (CN);2003;75,44;82,15;78,73;994,54;1008;1;1;1;1;2;
Cantabria (CB);2003;76,74;84,27;80,50;1160,40;1122;2;2;2;2;2;
Castilla - La Mancha (CM);2003;77,78;83,47;80,58;935,55;887;2;2;2;1;1;
Castilla y León (CL);2003;77,75;84,55;81,10;1022,78;960;2;2;2;2;2;
Cataluña (CT);2003;76,76;83,29;80,04;959,78;943;2;2;2;1;1;
Comunitat Valenciana (VC);2003;75,88;82,30;79,07;917,77;897;1;1;1;1;1;
Extremadura (EX);2003;75,99;82,16;79,02;1056,25;997;1;1;1;2;2;
Galicia (GA);2003;76,42;83,48;79,98;980,42;941;1;2;2;1;1;
La Rioja (RI);2003;77,42;84,32;80,78;996,89;948;2;2;2;2;1;
Madrid, Comunidad de (MD);2003;77,24;83,96;80,75;868,90;806;2;2;2;1;1;
Murcia, Región de (MC);2003;76,27;82,02;79,12;972,03;915;1;1;1;1;1;
Navarra, C. Foral de (NC);2003;77,75;84,45;81,07;1085,53;1066;2;2;2;2;2;
País Vasco (PV);2003;76,79;83,86;80,35;1048,16;1030;2;2;2;2;2;
Andalucía (AN);2004;75,68;82,24;78,95;974,94;919;1;1;1;1;1;
Aragón (AR);2004;77,17;84,09;80,56;1166,79;1100;1;2;2;2;2;
Asturias, Principado de (AS);2004;76,11;83,55;79,85;1135,37;1110;1;1;1;2;2;
Balears, Illes (IB);2004;77,18;83,65;80,39;953,32;946;2;1;1;1;1;
Canarias (CN);2004;75,75;82,14;78,90;1040,38;1038;1;1;1;1;2;
Cantabria (CB);2004;77,12;85,01;81,05;1242,30;1200;1;2;2;2;2;
Castilla - La Mancha (CM);2004;78,11;84,02;81,02;923,02;875;2;2;2;1;1;
Castilla y León (CL);2004;78,36;85,10;81,68;1090,54;1023;2;2;2;2;1;
Cataluña (CT);2004;77,34;84,17;80,78;988,11;967;2;2;2;1;1;
Comunitat Valenciana (VC);2004;76,75;83,05;79,89;974,11;944;1;1;1;1;1;
Extremadura (EX);2004;76,53;83,39;79,90;1129,12;1063;1;1;1;2;2;
Galicia (GA);2004;77,11;84,48;80,83;1061,07;1016;1;2;2;1;1;
La Rioja (RI);2004;78,41;84,44;81,40;1111,94;1057;2;2;2;2;2;
Madrid, Comunidad de (MD);2004;78,01;84,51;81,42;978,25;907;2;2;2;1;1;
Murcia, Región de (MC);2004;76,57;82,62;79,58;1059,27;994;1;1;1;1;1;
Navarra, C. Foral de (NC);2004;78,43;84,92;81,68;1163,17;1142;2;2;2;2;2;
País Vasco (PV);2004;77,39;84,42;80,94;1117,30;1095;2;2;2;2;2;
Andalucía (AN);2005;75,69;82,12;78,88;1022,62;966;1;1;1;1;1;
Aragón (AR);2005;77,66;83,72;80,65;1207,84;1140;2;1;2;2;2;
Asturias, Principado de (AS);2005;76,16;83,57;79,88;1203,59;1180;1;1;1;2;2;
Balears, Illes (IB);2005;77,21;83,57;80,36;1125,11;1115;2;1;1;1;2;
Canarias (CN);2005;76,03;82,51;79,22;1144,28;1145;1;1;1;1;2;
Cantabria (CB);2005;77,37;84,92;81,13;1330,57;1287;2;2;2;2;2;
Castilla - La Mancha (CM);2005;78,12;83,61;80,82;1171,86;1114;2;1;2;2;2;
Castilla y León (CL);2005;78,06;84,81;81,37;1176,18;1107;2;2;2;2;1;
Cataluña (CT);2005;77,17;83,76;80,48;1047,19;1028;2;1;2;1;1;
Comunitat Valenciana (VC);2005;76,64;82,75;79,68;1047,00;1020;1;1;1;1;1;
Extremadura (EX);2005;76,28;83,05;79,59;1207,47;1141;1;1;1;2;2;
Galicia (GA);2005;76,95;84,27;80,64;1148,85;1102;1;2;2;1;1;
La Rioja (RI);2005;77,63;84,38;80,93;1231,01;1177;2;2;2;2;2;
Madrid, Comunidad de (MD);2005;78,20;84,70;81,61;1023,51;962;2;2;2;1;1;
Murcia, Región de (MC);2005;76,66;82,82;79,69;1136,30;1068;1;1;1;1;1;
Navarra, C. Foral de (NC);2005;78,68;84,84;81,77;1200,54;1181;2;2;2;2;2;
País Vasco (PV);2005;77,13;84,63;80,89;1217,83;1193;1;2;2;2;2;
Andalucía (AN);2006;76,66;82,91;79,78;1108,04;1052;1;1;1;1;1;
Aragón (AR);2006;78,60;84,81;81,67;1319,16;1239;2;2;2;2;2;
Asturias, Principado de (AS);2006;76,41;84,33;80,38;1282,70;1259;1;1;1;2;2;
Balears, Illes (IB);2006;77,80;84,32;81,02;1115,02;1092;1;1;1;1;1;
Canarias (CN);2006;76,52;83,14;79,77;1213,88;1206;1;1;1;1;1;
Cantabria (CB);2006;77,54;84,68;81,13;1402,78;1358;1;2;1;2;2;
Castilla - La Mancha (CM);2006;79,08;84,68;81,84;1299,49;1234;2;2;2;2;2;
